ID	Image	Answer
A	https://i.postimg.cc/8CJrB3ph/A.png	google
B	https://i.postimg.cc/L69Y0h44/B.png	hahavodox
C	https://i.postimg.cc/CL7DFkrf/C.png	20,twenty
D	https://i.postimg.cc/YCncRYxW/D.png	towerofhanoi
E	https://i.postimg.cc/qvMV2j2r/E.png	eeeissedness
F	https://i.postimg.cc/50Wj52kV/F.png	intocseland
G	https://i.postimg.cc/9QBxHDZx/G.png	cryptography
H	https://i.postimg.cc/DyTdf22R/H.png	pagolcharacsecholenah
I	https://i.postimg.cc/9FYSCgjt/I.png	zero
J	https://i.postimg.cc/J4HV85zp/J.png	eeecdi
K	https://i.postimg.cc/RVg6r9q7/K.png	paradox
L	https://i.postimg.cc/KjJzyrcG/L.png	puetisrealbuet
M	https://i.postimg.cc/j53m0D0V/M.png	lrb,ayubbacchu,ayubbachchu
N	https://i.postimg.cc/VNqDSPjZ/N.png	buetpowerplant,powerplant,buetpp
O	https://i.postimg.cc/KY2yJ3FJ/O.png	chotha
P	https://i.postimg.cc/PJxH1GhH/P.png	heisenberg
Q	https://i.postimg.cc/K8hV2XVY/Q.png	buetmaneibangabandhu
R	https://i.postimg.cc/9Fy2TBHr/R.png	pi
a	https://i.postimg.cc/cH8GzPm0/a.jpg	thrEeI
b	https://i.postimg.cc/DyckRrqJ/b.jpg	nTeRs
c	https://i.postimg.cc/2SPwwJV4/c.jpg	eCTi
d	https://i.postimg.cc/T2rZWVN7/d.jpg	nGstRA
e	https://i.postimg.cc/cJ2VfXNj/e.jpg	iGHtL
f	https://i.postimg.cc/BbmWPsZ5/f.jpg	InEs
0	https://i.postimg.cc/52NYSNmh/0.gif	ebg69ebg420
1	https://i.postimg.cc/52NYSNmh/0.gif	oxomiyakpitim
